County,Precinct,First Expression,Final Expression,SDE
,Richland,16,16,0.2286
,English River/Liberty,34,34,0.4572
,Sigourney 4th Ward,23,23,0.2286
,Sigourney 1st Ward,20,20,0.2286
,Sigourney/Plank/Van Buren,16,16,0.3429
,What Cheer/Washington,12,10,0.3429
,Adams,14,14,0.2286
,Total,252,238,3.7719
Kossuth,AL1,51,51,0.8001
,HB- LY- LN- SF,9,9,0.3556
,GM- RM,26,25,0.4445
,AL3,52,52,0.889
,GF- WM,15,15,0.3556
,AL4,47,47,0.7112
,EG- GT- HS- SW,10,10,0.4445
,AL2,63,60,1.0667
,BF- PT,24,23,0.4445
,UN,4,4,0.0889
,BT- FT- UN,39,39,0.7112
,LC,8,8,0.0889
,LV- SM,15,15,0.1778
,GW- SN,3,3,0.0889
,CR- IV- RV,41,41,0.5334
,Total,407,402,7.2008
Lee,Keokuk 3,59,56,0.84
,Fort Madison 2,79,78,1.26
,Fort Madison 5,91,91,1.68
,Keokuk 4,33,31,0.84
,Keokuk 7,80,80,1.12
,Fort Madison 1,71,71,0.7
,Franklin/Cedar/Marion/Harison,76,76,1.4
,Green Bay/Washington,66,66,1.4
,Jefferson,41,41,0.56
,Keokuk 6,39,39,0.98
,Montrose,80,80,0.98
,Keokuk 1,72,68,0.7
,Fort Madison 4,70,70,1.54
,Keokuk 2,22,22,0.7
,Keokuk 5,65,65,1.12
,Charleston/DSM/Van Buren,43,43,0.84
,Total,987,977,16.66
Linn,Franklin,222,220,2.6372
,Washington,137,136,2.6372
,Brown,90,71,1.3185
,Grant,34,29,0.879
,Marion township,96,68,0.879
,Fairfax Township,75,72,1.3185
,Hiawatha 2,105,105,1.7581
,Marion 05,272,272,3.5163
,Hiawatha 1,189,190,2.6372
,Monroe 1,96,74,1.3185
,College,46,46,0.4395
,Maine,86,78,1.3185
,Hiawatha4,23,23,0.4395
,Buffalo,22,22,0.4395
,Spring Grove,19,19,0.4395
,Boulder,22,22,0.4395
,Clinton,46,46,0.879
,Bertram,287,286,3.0767
